#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 07 999 99.0 99.0  1.52  9.88  6.14  15 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 00 37 999 99.0 99.0  1.51  9.09  6.47  24 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 01 07 999 99.0 99.0  1.50  9.88  6.16  36 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 01 37 999 99.0 99.0  1.63  9.09  6.34  30 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 02 07 999 99.0 99.0  1.50  9.88  6.45  22 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 02 37 999 99.0 99.0  1.43  7.69  6.05  37 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 03 07 999 99.0 99.0  1.54  9.88  6.43   2 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 03 37 999 99.0 99.0  1.48  8.33  6.16  40 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 04 07 999 99.0 99.0  1.49  9.09  6.08  20 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 04 37 999 99.0 99.0  1.54  9.88  6.25  17 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 05 07 999 99.0 99.0  1.41  9.09  6.15  20 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 05 37 999 99.0 99.0  1.50  9.09  6.33  24 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 06 07 999 99.0 99.0  1.61  9.88  6.60   5 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 06 37 999 99.0 99.0  1.50  9.09  6.29  19 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 07 07 999 99.0 99.0  1.59  9.09  6.47  20 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 07 37 999 99.0 99.0  1.55  8.33  6.34  30 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 08 07 999 99.0 99.0  1.52  9.09  6.40  30 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 08 37 999 99.0 99.0  1.51  9.09  6.23  10 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 09 07 999 99.0 99.0  1.50 11.76  6.38 344 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 09 37 999 99.0 99.0  1.56  9.88  6.39 354 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 10 07 999 99.0 99.0  1.43  9.09  6.28  27 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 10 37 999 99.0 99.0  1.42  9.09  6.23  19 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 11 07 999 99.0 99.0  1.33 11.76  6.12 355 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 11 37 999 99.0 99.0  1.34  9.09  6.11  32 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 12 07 999 99.0 99.0  1.39  9.09  6.30  19 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 12 37 999 99.0 99.0  1.40  7.69  6.21  36 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 13 07 999 99.0 99.0  1.51  8.33  6.56  29 9999.0 999.0  25.0 999.0 99.0 99.00
