#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 02 02 17 38 999 99.0 99.0  1.87 11.11  6.45 353 9999.0 999.0  24.1 999.0 99.0 99.00
2011 02 02 18 08 999 99.0 99.0  1.76 11.11  6.34 357 9999.0 999.0  24.1 999.0 99.0 99.00
2011 02 02 18 38 999 99.0 99.0  1.64 10.53  6.43 350 9999.0 999.0  24.2 999.0 99.0 99.00
2011 02 02 19 08 999 99.0 99.0  1.73 11.11  6.76 350 9999.0 999.0  24.1 999.0 99.0 99.00
2011 02 02 19 38 999 99.0 99.0  1.66 11.11  6.55 352 9999.0 999.0  24.2 999.0 99.0 99.00
2011 02 02 20 08 999 99.0 99.0  1.61 10.53  6.43 355 9999.0 999.0  24.2 999.0 99.0 99.00
2011 02 02 20 38 999 99.0 99.0  1.71 11.76  6.57 353 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 02 21 08 999 99.0 99.0  1.64 11.76  6.67 355 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 02 21 38 999 99.0 99.0  1.62 11.11  6.68 352 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 02 22 08 999 99.0 99.0  1.74 11.76  6.93 348 9999.0 999.0  24.4 999.0 99.0 99.00
2011 02 02 22 38 999 99.0 99.0  1.69 11.11  6.57 356 9999.0 999.0  24.4 999.0 99.0 99.00
2011 02 02 23 08 999 99.0 99.0  1.70 11.76  6.50   2 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 02 23 38 999 99.0 99.0  1.70 10.53  6.36 354 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 03 00 08 999 99.0 99.0  1.64 16.67  6.12   3 9999.0 999.0  24.4 999.0 99.0 99.00
2011 02 03 00 38 999 99.0 99.0  1.69 16.67  6.52   2 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 03 01 08 999 99.0 99.0  1.60 10.53  6.34 354 9999.0 999.0  24.4 999.0 99.0 99.00
2011 02 03 01 38 999 99.0 99.0  1.71 11.76  6.26 355 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 03 02 08 999 99.0 99.0  1.74 15.38  6.43 359 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 03 02 38 999 99.0 99.0  1.74 11.76  6.11   6 9999.0 999.0  24.4 999.0 99.0 99.00
2011 02 03 03 08 999 99.0 99.0  1.71 11.11  5.87   1 9999.0 999.0  24.4 999.0 99.0 99.00
2011 02 03 03 38 999 99.0 99.0  1.63 11.76  6.03 356 9999.0 999.0  24.4 999.0 99.0 99.00
2011 02 03 04 08 999 99.0 99.0  1.67 15.38  6.14   2 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 03 04 38 999 99.0 99.0  1.64 15.38  6.15   6 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 03 05 08 999 99.0 99.0  1.58 15.38  6.05 355 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 03 05 38 999 99.0 99.0  1.57 15.38  6.20   2 9999.0 999.0  24.4 999.0 99.0 99.00
2011 02 03 06 08 999 99.0 99.0  1.69 14.29  6.14 352 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 03 06 38 999 99.0 99.0  1.80 14.29  6.00 351 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 03 07 08 999 99.0 99.0  1.84 14.29  6.00   3 9999.0 999.0  24.3 999.0 99.0 99.00
2011 02 03 07 38 999 99.0 99.0  1.72 14.29  5.72   1 9999.0 999.0  24.3 999.0 99.0 99.00
