#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 999 99.0 99.0  2.60 11.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 01 00 999 99.0 99.0  2.70 11.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 02 00 999 99.0 99.0  2.50 11.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 03 00 999 99.0 99.0  2.80 11.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 04 00 999 99.0 99.0  2.60 10.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 05 00 999 99.0 99.0  2.70 11.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 06 00 999 99.0 99.0  2.80 10.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 07 00 999 99.0 99.0  2.90 11.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 08 00 999 99.0 99.0  2.90 11.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 09 00 999 99.0 99.0  3.20 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 01 10 00 999 99.0 99.0  2.80 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 01 11 00 999 99.0 99.0  3.00 10.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 12 00 999 99.0 99.0  2.80 11.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 13 00 999 99.0 99.0  3.00 11.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 01 14 00 999 99.0 99.0  3.00 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 01 15 00 999 99.0 99.0  3.10 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 01 16 00 999 99.0 99.0  2.90 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 01 17 00 999 99.0 99.0  3.00 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 01 18 00 999 99.0 99.0  3.20 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 01 19 00 999 99.0 99.0  3.00 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 01 20 00 999 99.0 99.0  2.80 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 01 21 00 999 99.0 99.0  2.60 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 01 22 00 999 99.0 99.0  2.90 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 01 23 00 999 99.0 99.0  2.40 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 00 00 999 99.0 99.0  2.60 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 01 00 999 99.0 99.0  2.50 11.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 02 02 00 999 99.0 99.0  2.90 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 03 00 999 99.0 99.0  2.80 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 04 00 999 99.0 99.0  3.00 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 05 00 999 99.0 99.0  3.20 11.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 02 06 00 999 99.0 99.0  3.00 10.00 99.00 999 9999.0 999.0  24.0 999.0 99.0 99.00
2008 01 02 07 00 999 99.0 99.0  2.70 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 08 00 999 99.0 99.0  2.90 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 09 00 999 99.0 99.0  3.20 12.00 99.00 999 9999.0 999.0  24.2 999.0 99.0 99.00
2008 01 02 10 00 999 99.0 99.0  3.00 12.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 11 00 999 99.0 99.0  3.10 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 12 00 999 99.0 99.0  3.50 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 13 00 999 99.0 99.0  3.10 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 14 00 999 99.0 99.0  2.90 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 15 00 999 99.0 99.0  3.20 12.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 16 00 999 99.0 99.0  2.90  8.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 17 00 999 99.0 99.0  2.80 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 18 00 999 99.0 99.0  2.80 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 19 00 999 99.0 99.0  2.80 11.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 20 00 999 99.0 99.0  2.70 12.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 21 00 999 99.0 99.0  2.60 10.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
2008 01 02 22 00 999 99.0 99.0  2.80 12.00 99.00 999 9999.0 999.0  24.1 999.0 99.0 99.00
