#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 04 999 99.0 99.0  2.23  9.88  7.04  19 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 00 34 999 99.0 99.0  2.40  9.88  7.06  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 01 04 999 99.0 99.0  2.12  9.88  6.63  34 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 01 34 999 99.0 99.0  2.19  9.88  6.63  24 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 02 04 999 99.0 99.0  2.17  9.88  6.90  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 02 34 999 99.0 99.0  2.26  9.09  6.83  44 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 03 04 999 99.0 99.0  2.18  9.88  6.69  36 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 03 34 999 99.0 99.0  2.27  9.09  6.67  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 04 04 999 99.0 99.0  2.30  9.88  6.49  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 04 34 999 99.0 99.0  2.21  9.09  6.51  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 05 04 999 99.0 99.0  2.15  9.88  6.39  22 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 05 34 999 99.0 99.0  2.20  9.88  6.58  16 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 06 04 999 99.0 99.0  2.05  9.09  6.24  39 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 06 34 999 99.0 99.0  2.01 11.11  6.46  16 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 07 04 999 99.0 99.0  2.29 10.53  7.03  19 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 07 34 999 99.0 99.0  2.28  9.88  6.88  30 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 08 04 999 99.0 99.0  2.01  9.88  6.65  13 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 08 34 999 99.0 99.0  2.05 10.53  6.78  29 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 09 04 999 99.0 99.0  2.00 10.53  6.64  13 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 09 34 999 99.0 99.0  2.19  9.88  6.74   1 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 10 04 999 99.0 99.0  2.07 10.53  6.53   6 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 10 34 999 99.0 99.0  2.31  9.88  6.87  13 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 11 04 999 99.0 99.0  2.09  9.09  6.76  15 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 11 34 999 99.0 99.0  2.32 10.53  6.99  19 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 12 04 999 99.0 99.0  2.14  9.88  6.85  12 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 12 34 999 99.0 99.0  2.27  9.88  7.00  17 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 13 04 999 99.0 99.0  1.97  9.88  6.57  24 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 13 34 999 99.0 99.0  2.08  9.88  6.72   2 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 14 04 999 99.0 99.0  1.93  9.09  6.45  24 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 14 34 999 99.0 99.0  2.20  9.88  6.94  10 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 15 04 999 99.0 99.0  1.94  9.88  6.65   5 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 16 04 999 99.0 99.0  2.10  9.88  6.87  15 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 16 34 999 99.0 99.0  1.99  9.88  6.72  20 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 17 04 999 99.0 99.0  2.00  9.88  6.61  10 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 17 34 999 99.0 99.0  2.02  9.88  6.69  22 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 18 04 999 99.0 99.0  2.09  9.88  6.88  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 18 34 999 99.0 99.0  1.90  9.88  6.78  23 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 19 04 999 99.0 99.0  1.95  9.88  6.90   9 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 19 34 999 99.0 99.0  2.05 10.53  6.90  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 20 04 999 99.0 99.0  2.07  9.09  6.90  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 20 34 999 99.0 99.0  1.82  9.88  6.82  29 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 21 04 999 99.0 99.0  2.00 10.53  6.93  12 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 21 34 999 99.0 99.0  1.95  9.88  6.99  13 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 22 04 999 99.0 99.0  1.99  9.09  6.99  22 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 22 34 999 99.0 99.0  2.07 10.53  7.34   6 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 23 04 999 99.0 99.0  2.08  9.88  7.19   6 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 23 34 999 99.0 99.0  2.05 13.33  7.14  23 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 00 34 999 99.0 99.0  2.09 11.76  7.21  17 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 01 04 999 99.0 99.0  2.22  9.88  7.34   6 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 01 34 999 99.0 99.0  2.02 14.29  7.06  15 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 02 04 999 99.0 99.0  2.21 13.33  7.37  12 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 02 34 999 99.0 99.0  2.34  9.88  7.62  13 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 03 04 999 99.0 99.0  2.37 13.33  7.86  10 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 03 34 999 99.0 99.0  2.15 11.76  7.42  19 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 04 04 999 99.0 99.0  2.26 12.50  7.64  15 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 04 34 999 99.0 99.0  2.43 11.76  7.96  12 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 05 04 999 99.0 99.0  2.27 11.76  7.47  22 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 05 34 999 99.0 99.0  2.16 12.50  7.63  13 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 06 04 999 99.0 99.0  2.07 12.50  7.37  17 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 06 34 999 99.0 99.0  2.06 13.33  7.40  13 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 07 04 999 99.0 99.0  2.06 11.76  7.68  27 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 07 34 999 99.0 99.0  2.18 11.76  7.75  22 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 08 04 999 99.0 99.0  2.12 12.50  7.71  16 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 08 34 999 99.0 99.0  2.06 12.50  7.72  17 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 09 04 999 99.0 99.0  2.05 12.50  7.80  10 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 09 34 999 99.0 99.0  2.19 11.76  7.99   8 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 10 04 999 99.0 99.0  1.98 11.76  7.71  22 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 10 34 999 99.0 99.0  2.29 11.11  8.13  10 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 11 04 999 99.0 99.0  2.01 11.11  7.58  17 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 11 34 999 99.0 99.0  2.11 11.11  7.66  17 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 12 04 999 99.0 99.0  1.95 11.11  7.20  19 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 12 34 999 99.0 99.0  2.02 10.53  7.41   1 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 13 34 999 99.0 99.0  2.04 12.50  7.68   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 14 34 999 99.0 99.0  1.97 11.11  7.41  19 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 15 04 999 99.0 99.0  1.85 11.76  7.42   6 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 15 34 999 99.0 99.0  1.91 10.53  7.47  15 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 16 04 999 99.0 99.0  1.83 10.53  7.28  15 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 16 34 999 99.0 99.0  1.78 11.11  7.16  15 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 17 04 999 99.0 99.0  1.87 10.53  7.51  16 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 17 34 999 99.0 99.0  1.83 11.76  7.29   1 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 18 04 999 99.0 99.0  1.87 10.53  7.30  13 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 18 34 999 99.0 99.0  1.91 11.76  7.41   6 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 19 04 999 99.0 99.0  1.81 10.53  7.16   8 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 19 34 999 99.0 99.0  1.77 11.11  7.17  13 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 20 04 999 99.0 99.0  1.82  9.88  7.52  19 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 20 34 999 99.0 99.0  1.65  9.88  6.95  26 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 21 04 999 99.0 99.0  1.73 10.53  7.29  17 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 21 34 999 99.0 99.0  1.81  9.88  7.44   5 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 22 04 999 99.0 99.0  1.65 11.11  7.09   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 22 34 999 99.0 99.0  1.68 10.53  7.19   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 23 04 999 99.0 99.0  1.62 11.11  7.08   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 23 34 999 99.0 99.0  1.68 11.11  7.33   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 00 04 999 99.0 99.0  1.70  9.88  7.44   2 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 00 34 999 99.0 99.0  1.75 11.11  7.62  12 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 01 04 999 99.0 99.0  1.75  9.09  7.44  10 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 01 34 999 99.0 99.0  1.59 11.11  7.38  15 9999.0 999.0  24.8 999.0 99.0 99.00
