#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 11 999 99.0 99.0  2.35 11.11  7.39 358 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 00 41 999 99.0 99.0  2.59  9.88  7.71   1 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 01 11 999 99.0 99.0  2.56 10.53  7.80 354 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 01 41 999 99.0 99.0  2.78 11.11  8.32 359 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 02 11 999 99.0 99.0  3.39 11.11  9.21 354 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 02 41 999 99.0 99.0  3.45 12.50  9.19 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 03 11 999 99.0 99.0  3.60 13.33  9.47   1 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 03 41 999 99.0 99.0  3.60 11.76  9.27 354 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 04 11 999 99.0 99.0  3.47 12.50  9.36 358 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 04 41 999 99.0 99.0  3.56 12.50  9.39 355 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 05 11 999 99.0 99.0  3.87 11.76  9.70 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 05 41 999 99.0 99.0  3.88 12.50  9.89 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 06 11 999 99.0 99.0  3.79 12.50  9.85 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 06 41 999 99.0 99.0  4.15 12.50 10.14 355 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 07 11 999 99.0 99.0  3.78 13.33  9.73 355 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 07 41 999 99.0 99.0  3.96 12.50  9.93 354 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 08 11 999 99.0 99.0  3.77 12.50  9.86 355 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 08 41 999 99.0 99.0  3.88 12.50  9.89 358 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 09 11 999 99.0 99.0  3.80 13.33 10.25 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 09 41 999 99.0 99.0  4.12 13.33 10.67 355 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 10 11 999 99.0 99.0  3.63 11.11  9.94 349 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 10 41 999 99.0 99.0  4.12 13.33 10.46 359 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 11 11 999 99.0 99.0  3.82 12.50 10.10 358 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 11 41 999 99.0 99.0  3.40 11.76  9.67 351 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 12 11 999 99.0 99.0  3.33 12.50  9.60 358 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 12 41 999 99.0 99.0  3.80 13.33 10.12 358 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 13 11 999 99.0 99.0  3.59 13.33 10.02   1 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 13 41 999 99.0 99.0  3.26 12.50  9.94 355 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 14 11 999 99.0 99.0  3.76 13.33 10.14 355 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 14 41 999 99.0 99.0  3.26 13.33  9.54 358 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 15 11 999 99.0 99.0  3.28 11.76  9.27 355 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 15 41 999 99.0 99.0  3.84 13.33  9.85 354 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 01 16 11 999 99.0 99.0  3.29 10.53  9.71 349 9999.0 999.0  24.2 999.0 99.0 99.00
