#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 05 41 999 99.0 99.0  1.78 11.76  8.71 349 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 06 11 999 99.0 99.0  1.88 15.38  9.12 348 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 06 41 999 99.0 99.0  1.89  9.88  8.82  48 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 07 11 999 99.0 99.0  1.70 14.29  8.53 348 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 07 41 999 99.0 99.0  1.83 15.38  8.78 355 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 08 11 999 99.0 99.0  1.90 14.29  8.76 351 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 08 41 999 99.0 99.0  1.78 14.29  8.58 349 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 09 11 999 99.0 99.0  1.77 15.38  8.81 345 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 09 41 999 99.0 99.0  1.87  9.88  8.70  29 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 10 11 999 99.0 99.0  1.84 15.38  9.02 355 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 10 41 999 99.0 99.0  1.95 14.29  9.23 347 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 11 11 999 99.0 99.0  1.96 14.29  9.37 348 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 11 41 999 99.0 99.0  2.00 13.33  9.02 347 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 12 11 999 99.0 99.0  1.92 10.53  9.13  13 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 12 41 999 99.0 99.0  1.77 14.29  8.76 349 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 13 11 999 99.0 99.0  1.83 12.50  9.02 342 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 13 41 999 99.0 99.0  1.87 13.33  8.67 348 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 14 11 999 99.0 99.0  2.04  9.88  8.77  44 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 14 41 999 99.0 99.0  1.79 13.33  8.33 348 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 15 11 999 99.0 99.0  1.90 14.29  7.96 347 9999.0 999.0  24.1 999.0 99.0 99.00
