#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 02 05 23 41 999 99.0 99.0  1.74 10.53  6.52   3 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 06 00 11 999 99.0 99.0  1.61 11.76  6.28 356 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 06 00 41 999 99.0 99.0  1.69 12.50  6.50 343 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 06 01 11 999 99.0 99.0  1.57 12.50  5.97 350 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 06 01 41 999 99.0 99.0  1.70 11.11  6.64 348 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 06 02 11 999 99.0 99.0  1.61 11.76  6.74 345 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 06 02 41 999 99.0 99.0  1.47 11.76  6.51 350 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 06 03 11 999 99.0 99.0  1.62 12.50  6.90 352 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 06 03 41 999 99.0 99.0  1.57 12.50  6.88 350 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 06 04 11 999 99.0 99.0  1.43 11.11  6.68 352 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 04 41 999 99.0 99.0  1.54 11.76  6.80 355 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 06 05 11 999 99.0 99.0  1.73 11.76  7.16 352 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 06 05 41 999 99.0 99.0  1.70 11.76  7.09 348 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 06 06 11 999 99.0 99.0  1.87 11.11  7.47   0 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 06 06 41 999 99.0 99.0  1.78 11.76  7.19   2 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 06 07 11 999 99.0 99.0  1.81 11.76  7.20 353 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 07 41 999 99.0 99.0  1.77 11.76  6.85   7 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 08 11 999 99.0 99.0  1.95 18.18  7.22 359 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 08 41 999 99.0 99.0  1.82 11.76  6.91 357 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 09 11 999 99.0 99.0  1.84 20.00  7.33 357 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 09 41 999 99.0 99.0  1.78 18.18  7.34   2 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 10 11 999 99.0 99.0  1.68 10.53  6.94 359 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 10 41 999 99.0 99.0  1.72 10.53  7.34   3 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 11 11 999 99.0 99.0  1.79 18.18  7.75   4 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 11 41 999 99.0 99.0  1.74 18.18  8.03   0 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 06 12 11 999 99.0 99.0  1.72 18.18  8.42   0 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 12 41 999 99.0 99.0  1.72 18.18  8.02 356 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 13 11 999 99.0 99.0  1.71 16.67  8.30 357 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 06 13 41 999 99.0 99.0  1.69 16.67  8.26 357 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 14 11 999 99.0 99.0  1.61 18.18  7.94 353 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 06 14 41 999 99.0 99.0  1.71 18.18  8.20 355 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 15 11 999 99.0 99.0  1.63 16.67  7.91 355 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 15 41 999 99.0 99.0  1.50 16.67  7.71 359 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 06 16 11 999 99.0 99.0  1.67 16.67  8.16   2 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 16 41 999 99.0 99.0  1.55 18.18  7.97   0 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 17 11 999 99.0 99.0  1.69 15.38  8.21 356 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 06 17 41 999 99.0 99.0  1.71 16.67  8.33 359 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 18 11 999 99.0 99.0  1.52 16.67  7.63   2 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 06 18 41 999 99.0 99.0  1.49 16.67  7.59   2 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 06 19 11 999 99.0 99.0  1.47 11.76  7.18 350 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 06 19 41 999 99.0 99.0  1.46 14.29  7.36   4 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 20 11 999 99.0 99.0  1.35 10.53  7.10  16 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 20 41 999 99.0 99.0  1.39 15.38  7.29 355 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 06 21 11 999 99.0 99.0  1.30 16.67  6.97 359 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 06 21 41 999 99.0 99.0  1.29 11.11  6.66  14 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 06 22 11 999 99.0 99.0  1.27 11.11  6.86  11 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 06 22 41 999 99.0 99.0  1.29 11.11  7.07   2 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 06 23 11 999 99.0 99.0  1.22 11.76  7.01   9 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 00 11 999 99.0 99.0  1.30 14.29  7.60 357 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 00 41 999 99.0 99.0  1.37 15.38  8.05 353 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 01 11 999 99.0 99.0  1.37 16.67  7.95 353 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 07 01 41 999 99.0 99.0  1.35 14.29  7.82 356 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 02 11 999 99.0 99.0  1.31 12.50  7.68 353 9999.0 999.0  23.9 999.0 99.0 99.00
